Return ID,Size,Gender,Item Code,Item Description,Return Description,Brand,Return Type,Date logged,City,Area Code,Origin,Stage,Sub Status,Returned Successfully,Satisfaction,Within SLA,Closed date
742,M,Mixed,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Quality of Product,01/10/2019,Birmingham,B32 2AU,In Store,Stage 2,Decision Pending,FALSE,3,TRUE,16/10/2019
743,L,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Incorrect Fitting,01/11/2019,Birmingham,B15 1RP ,Letter,Stage 3,Acknowledged,FALSE,5,FALSE,30/01/2020
744,XL,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/12/2019,Birmingham,B26 3DY ,Chat,Completed,In Progress,FALSE,7,TRUE,16/12/2019
745,XXL,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Incorrect Fitting,01/01/2019,Birmingham,B1 2PN ,Phone,Stage 1,Decision Pending,FALSE,8,TRUE,16/01/2019
746,S,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Quality of Product,01/02/2019,Birmingham,B28 9DX,In Store,Stage 2,Decision Pending,FALSE,2,FALSE,02/05/2019
747,M,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Quality of Product,01/03/2019,Birmingham,B32 2EH ,In Store,Stage 3,Upheld,FALSE,4,TRUE,16/03/2019
748,L,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Quality of Product,01/04/2019,Birmingham,B15 1RX ,Letter,Completed,Rejected,TRUE,0,TRUE,16/04/2019
749,XL,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,General Return,01/05/2019,Birmingham,B26 3EA ,Chat,Stage 1,Closed,TRUE,1,FALSE,30/06/2019
750,XXL,Women,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Unexpected Issue,01/06/2019,Birmingham,B1 2PW,Phone,Stage 2,Acknowledged,FALSE,10,TRUE,16/06/2019
751,S,Mixed,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,General Return,01/07/2019,Birmingham,B28 8BZ ,Web,Stage 3,In Progress,FALSE,1,TRUE,16/07/2019
752,M,Men,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/08/2019,Birmingham,B32 2EL ,In Store,Completed,Decision Pending,FALSE,3,FALSE,30/09/2019
753,L,Men,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Unexpected Issue,01/09/2019,Birmingham,B15 1TH ,In Store,Stage 1,Decision Pending,FALSE,5,TRUE,16/09/2019
754,XL,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Unexpected Issue,01/10/2019,Birmingham,B26 3EG ,Phone,Stage 2,Upheld,FALSE,7,TRUE,16/10/2019
755,XXL,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Unexpected Issue,01/11/2019,Birmingham,B44 0RP,Social,Stage 3,Rejected,TRUE,2,TRUE,16/11/2019
756,L,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,General Return,01/12/2019,Birmingham,B28 8DA ,Web,Completed,Closed,FALSE,1,FALSE,30/01/2020
757,M,Women,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,Customer Service Failure,01/01/2019,Birmingham,B28 8DB ,In Store,Stage 1,Decision Pending,FALSE,7,TRUE,16/01/2019
758,L,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Incorrect Fitting,01/02/2019,Birmingham,B15 1TS ,Letter,Stage 2,In Progress,FALSE,1,FALSE,02/05/2019
759,XL,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,General Return,01/03/2019,Birmingham,B26 3EH ,Phone,Stage 3,Decision Pending,FALSE,8,TRUE,16/03/2019
760,XXL,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Incorrect Fitting,01/04/2019,Birmingham,B32 3PW,In Store,Completed,Decision Pending,FALSE,10,TRUE,16/04/2019
761,S,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Incorrect Fitting,01/05/2019,Birmingham,B28 8DD,Phone,Stage 1,Upheld,FALSE,1,FALSE,30/06/2019
762,M,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Quality of Product,01/06/2019,Birmingham,B32 2EP ,Phone,Stage 2,Rejected,TRUE,1,TRUE,16/06/2019
763,L,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Incorrect Fitting,01/07/2019,Birmingham,B15 1TT ,Letter,Stage 3,Closed,TRUE,5,TRUE,16/07/2019
764,XL,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Quality of Product,01/08/2019,Birmingham,B26 3EW ,In Store,Completed,Acknowledged,FALSE,1,FALSE,15/09/2019
765,XXL,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Incorrect Fitting,01/09/2019,Birmingham,B32 3PB ,Social,Stage 1,In Progress,FALSE,8,TRUE,16/09/2019
766,S,Women,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Quality of Product,01/10/2019,Birmingham,B28 0BS ,Web,Stage 2,Decision Pending,FALSE,2,TRUE,16/10/2019
767,M,Mixed,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Quality of Product,01/11/2019,Birmingham,B32 2ES ,In Store,Stage 3,Decision Pending,FALSE,4,FALSE,01/12/2019
768,L,Men,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/12/2019,Birmingham,B15 3AW,Letter,Completed,Upheld,FALSE,6,TRUE,16/12/2019
769,L,Men,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,General Return,01/01/2019,Birmingham,B26 3HH ,In Store,Stage 1,Rejected,TRUE,2,TRUE,16/01/2019
770,XXL,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Unexpected Issue,01/02/2019,Birmingham,B32 3PD ,Social,Stage 2,Closed,TRUE,0,FALSE,02/05/2019
771,S,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Incorrect Fitting,01/03/2019,Birmingham,B28 0BT ,Phone,Stage 3,Acknowledged,FALSE,1,TRUE,16/03/2019
772,M,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,General Return,01/04/2019,Birmingham,B32 2ET ,Phone,Completed,In Progress,FALSE,3,TRUE,16/04/2019
773,L,Women,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,Unexpected Issue,01/05/2019,Birmingham,B28 0BU ,In Store,Stage 1,Decision Pending,FALSE,3,FALSE,30/07/2019
774,L,Mixed,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Unexpected Issue,01/06/2019,Birmingham,B26 3HJ ,Chat,Stage 2,Decision Pending,FALSE,7,TRUE,16/06/2019
775,XXL,Men,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Unexpected Issue,01/07/2019,Birmingham,B32 3PJ ,Social,Stage 3,Upheld,FALSE,8,TRUE,16/07/2019
776,S,Women,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,General Return,01/08/2019,Birmingham,B28 0BX ,In Store,Completed,Rejected,TRUE,2,TRUE,16/08/2019
777,M,Mixed,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Customer Service Failure,01/09/2019,Birmingham,B32 2EU,Phone,Stage 1,Closed,TRUE,7,TRUE,16/09/2019
778,L,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Incorrect Fitting,01/10/2019,Birmingham,B15 1QS,Letter,Stage 2,Acknowledged,FALSE,6,TRUE,16/10/2019
779,XL,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,General Return,01/11/2019,Birmingham,B26 3HN ,Chat,Stage 3,In Progress,FALSE,1,FALSE,01/12/2019
780,XXL,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Incorrect Fitting,01/12/2019,Birmingham,B32 3PP ,Social,Completed,Decision Pending,FALSE,10,TRUE,16/12/2019
781,L,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Incorrect Fitting,01/01/2019,Birmingham,B28 0BY ,Web,Stage 1,Decision Pending,FALSE,1,TRUE,16/01/2019
782,M,Women,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Quality of Product,01/02/2019,Birmingham,B17 0HH,Phone,Stage 2,Upheld,FALSE,3,FALSE,02/05/2019
783,L,Mixed,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Incorrect Fitting,01/03/2019,Birmingham,B15 1TR,In Store,Stage 3,Rejected,TRUE,3,TRUE,16/03/2019
784,L,Men,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/04/2019,Birmingham,B26 3HP ,Chat,Completed,Closed,FALSE,1,FALSE,31/05/2019
785,L,Men,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Incorrect Fitting,01/05/2019,Birmingham,B32 3QD ,Social,Stage 1,Acknowledged,FALSE,0,FALSE,30/06/2019
786,S,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Quality of Product,01/06/2019,Birmingham,B28 0DP ,In Store,Stage 2,In Progress,FALSE,2,TRUE,16/06/2019
787,L,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Quality of Product,01/07/2019,Birmingham,B17 0EQ,Phone,Stage 3,Decision Pending,FALSE,4,TRUE,16/07/2019
788,L,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,Quality of Product,01/08/2019,Birmingham,B28 0DR ,Letter,Completed,Decision Pending,FALSE,6,FALSE,30/09/2019
789,XL,Women,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,General Return,01/09/2019,Birmingham,B26 3JA ,Phone,Stage 1,Upheld,FALSE,8,TRUE,16/09/2019
790,L,Mixed,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Unexpected Issue,01/10/2019,Birmingham,B32 3QG ,Social,Stage 2,Decision Pending,FALSE,10,TRUE,16/10/2019
791,S,Men,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Incorrect Fitting,01/11/2019,Birmingham,B28 0DW ,Web,Stage 3,Closed,TRUE,1,FALSE,30/01/2020
792,M,Women,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,Quality of Product,01/12/2019,Birmingham,B17 0HW,In Store,Completed,Acknowledged,FALSE,3,TRUE,16/12/2019
793,L,Mixed,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,General Return,01/01/2019,Birmingham,B16 9BH ,Letter,Stage 1,In Progress,FALSE,5,TRUE,16/01/2019
794,L,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Unexpected Issue,01/02/2019,Birmingham,B26 3JB ,Chat,Stage 2,Decision Pending,FALSE,7,FALSE,02/05/2019
795,XXL,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Unexpected Issue,01/03/2019,Birmingham,B32 3QH ,Social,Stage 3,Decision Pending,FALSE,8,TRUE,16/03/2019
796,S,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,General Return,01/04/2019,Birmingham,B28 0EL ,Web,Completed,Upheld,FALSE,2,TRUE,16/04/2019
797,M,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Customer Service Failure,01/05/2019,Birmingham,B17 9JY ,In Store,Stage 1,Rejected,TRUE,2,TRUE,16/05/2019
798,L,Women,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Incorrect Fitting,01/06/2019,Birmingham,B16 9BJ,Phone,Stage 2,Closed,TRUE,6,TRUE,16/06/2019
799,L,Mixed,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,General Return,01/07/2019,Birmingham,B26 3JE ,Chat,Stage 3,Acknowledged,FALSE,8,TRUE,16/07/2019
800,XXL,Men,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Incorrect Fitting,01/08/2019,Birmingham,B32 3QJ,Social,Completed,In Progress,FALSE,1,FALSE,30/09/2019
801,S,Women,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Incorrect Fitting,01/09/2019,Birmingham,B28 0EU ,In Store,Stage 1,Decision Pending,FALSE,1,TRUE,16/09/2019
802,M,Mixed,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Quality of Product,01/10/2019,Birmingham,B28 0HD ,Phone,Stage 2,Decision Pending,FALSE,3,TRUE,16/10/2019
803,L,Men,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Incorrect Fitting,01/11/2019,Birmingham,B15 2NG ,Letter,Stage 3,Upheld,FALSE,0,FALSE,30/01/2020
804,XL,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Quality of Product,01/12/2019,Birmingham,B26 3JG ,Chat,Completed,Rejected,TRUE,3,TRUE,16/12/2019
805,L,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Incorrect Fitting,01/01/2019,Birmingham,B7 4DE ,Social,Stage 1,Closed,TRUE,8,TRUE,16/01/2019
806,S,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Quality of Product,01/02/2019,Birmingham,B28 0HN ,Web,Stage 2,Acknowledged,FALSE,2,FALSE,02/05/2019
807,M,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Quality of Product,01/03/2019,Birmingham,B17 9LA ,Phone,Stage 3,Decision Pending,FALSE,4,TRUE,16/03/2019
808,L,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Quality of Product,01/04/2019,Birmingham,B15 2NH ,Phone,Completed,Decision Pending,FALSE,6,TRUE,16/04/2019
809,XL,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,General Return,01/05/2019,Birmingham,B26 3JH ,In Store,Stage 1,Decision Pending,FALSE,1,FALSE,30/07/2019
810,XXL,Women,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Unexpected Issue,01/06/2019,Birmingham,B7 4LT,Social,Stage 2,Upheld,FALSE,10,TRUE,16/06/2019
811,S,Mixed,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Incorrect Fitting,01/07/2019,Birmingham,B28 0HP ,Web,Stage 3,Rejected,TRUE,1,TRUE,16/07/2019
812,L,Men,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,General Return,01/08/2019,Birmingham,B17 9LB ,Phone,Completed,Closed,FALSE,0,FALSE,30/09/2019
813,L,Women,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Unexpected Issue,01/09/2019,Birmingham,B15 2NQ ,Letter,Stage 1,Acknowledged,FALSE,5,TRUE,16/09/2019
814,XL,Mixed,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Unexpected Issue,01/10/2019,Birmingham,B26 3JR ,Chat,Stage 2,In Progress,FALSE,7,TRUE,16/10/2019
815,XXL,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Unexpected Issue,01/11/2019,Birmingham,B28 0HR ,Social,Stage 3,Decision Pending,FALSE,1,FALSE,01/12/2019
816,S,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,General Return,01/12/2019,Birmingham,B28 0HS ,Web,Completed,Decision Pending,FALSE,7,TRUE,16/12/2019
817,M,Mixed,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Customer Service Failure,01/01/2019,Birmingham,B17 9LG,Phone,Stage 1,Upheld,FALSE,4,TRUE,16/01/2019
818,L,Men,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Incorrect Fitting,01/02/2019,Birmingham,B15 2NU,Phone,Stage 2,Rejected,TRUE,2,TRUE,16/02/2019
819,XL,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,General Return,01/03/2019,Birmingham,B26 3JS ,In Store,Stage 3,Closed,TRUE,8,TRUE,16/03/2019
820,L,Mixed,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,Incorrect Fitting,01/04/2019,Birmingham,B8 1LB,Social,Completed,Acknowledged,FALSE,1,TRUE,16/04/2019
821,S,Men,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,Incorrect Fitting,01/05/2019,Birmingham,B28 0HT ,Web,Stage 1,In Progress,FALSE,0,FALSE,30/07/2019
822,M,Mixed,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Quality of Product,01/06/2019,Birmingham,B17 0BN,Phone,Stage 2,Decision Pending,FALSE,3,TRUE,16/06/2019
823,L,Mixed,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Incorrect Fitting,01/07/2019,Birmingham,B15 3AS ,In Store,Stage 3,Decision Pending,FALSE,5,TRUE,16/07/2019
824,XL,Men,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,Quality of Product,01/08/2019,Birmingham,B26 3LS ,Chat,Completed,Upheld,FALSE,1,FALSE,30/09/2019
825,XXL,Women,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Incorrect Fitting,01/09/2019,Birmingham,B8 1TB,Social,Stage 1,Rejected,TRUE,1,TRUE,16/09/2019
826,S,Mixed,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Quality of Product,01/10/2019,Birmingham,B28 0HU ,Web,Stage 2,Decision Pending,FALSE,2,TRUE,16/10/2019
827,M,Men,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Quality of Product,01/11/2019,Birmingham,B28 0HW,In Store,Stage 3,Acknowledged,FALSE,4,FALSE,30/01/2020
828,L,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Quality of Product,01/12/2019,Birmingham,B15 3AT ,Letter,Completed,In Progress,FALSE,6,TRUE,16/12/2019
829,L,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,General Return,01/01/2019,Birmingham,B26 3NJ ,Phone,Stage 1,Decision Pending,FALSE,8,TRUE,16/01/2019
830,XXL,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,General Return,01/02/2019,Birmingham,B8 1ED ,Social,Stage 2,Decision Pending,FALSE,1,FALSE,02/05/2019
831,S,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Incorrect Fitting,01/03/2019,Birmingham,B28 0TA,Web,Stage 3,Upheld,FALSE,1,TRUE,16/03/2019
832,M,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Quality of Product,01/04/2019,Birmingham,B17 9AP,Phone,Completed,Rejected,TRUE,0,TRUE,16/04/2019
833,L,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Unexpected Issue,01/05/2019,Birmingham,B15 3AX ,Letter,Stage 1,Closed,TRUE,0,FALSE,30/06/2019
834,XL,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Unexpected Issue,01/06/2019,Birmingham,B26 3NL ,Chat,Stage 2,Acknowledged,FALSE,7,TRUE,16/06/2019
835,XXL,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Unexpected Issue,01/07/2019,Birmingham,B8 1EH ,Social,Stage 3,In Progress,FALSE,7,TRUE,16/07/2019
836,S,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,General Return,01/08/2019,Birmingham,B28 0UU,Web,Completed,Decision Pending,FALSE,2,FALSE,30/09/2019
837,M,Women,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,Customer Service Failure,01/09/2019,Birmingham,B17 9EX ,In Store,Stage 1,Decision Pending,FALSE,4,TRUE,16/09/2019
838,L,Mixed,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Incorrect Fitting,01/10/2019,Birmingham,B28 0JP ,Letter,Stage 2,Upheld,FALSE,6,TRUE,16/10/2019
839,L,Men,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,General Return,01/11/2019,Birmingham,B26 3NR ,In Store,Stage 3,Rejected,TRUE,4,TRUE,16/11/2019
840,XXL,Women,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,Incorrect Fitting,01/12/2019,Birmingham,B8 1LD ,Social,Completed,Closed,FALSE,1,FALSE,30/01/2020
841,S,Mixed,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Incorrect Fitting,01/01/2019,Birmingham,B28 0JR,Web,Stage 1,Acknowledged,FALSE,1,TRUE,16/01/2019
842,M,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Quality of Product,01/02/2019,Birmingham,B17 9EY ,Phone,Stage 2,In Progress,FALSE,0,FALSE,02/05/2019
843,L,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Incorrect Fitting,01/03/2019,Birmingham,B15 3SH ,Letter,Stage 3,Decision Pending,FALSE,5,TRUE,16/03/2019
844,XL,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Quality of Product,01/04/2019,Birmingham,B26 3NW ,Chat,Completed,Decision Pending,FALSE,7,TRUE,16/04/2019
845,XXL,Men,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Incorrect Fitting,01/05/2019,Birmingham,B8 1LE,Social,Stage 1,Upheld,FALSE,1,FALSE,30/06/2019
846,S,Women,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,General Return,01/06/2019,Birmingham,B28 0SR ,Web,Stage 2,Decision Pending,FALSE,2,TRUE,16/06/2019
847,M,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Quality of Product,01/07/2019,Birmingham,B17 9HA ,Phone,Stage 3,Closed,TRUE,4,TRUE,16/07/2019
848,L,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/08/2019,Birmingham,B28 0ST ,In Store,Completed,Acknowledged,FALSE,0,FALSE,15/09/2019
849,XL,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,General Return,01/09/2019,Birmingham,B26 3PD ,Chat,Stage 1,In Progress,FALSE,8,TRUE,16/09/2019
850,L,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Unexpected Issue,01/10/2019,Birmingham,B8 1AN,Social,Stage 2,Decision Pending,FALSE,10,TRUE,16/10/2019
851,S,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Incorrect Fitting,01/11/2019,Birmingham,B28 0SU ,Web,Stage 3,Decision Pending,FALSE,1,FALSE,01/12/2019
852,M,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Quality of Product,01/12/2019,Birmingham,B17 9HB,In Store,Completed,Upheld,FALSE,7,TRUE,16/12/2019
853,L,Mixed,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,Unexpected Issue,01/01/2019,Birmingham,B15 3SJ ,Letter,Stage 1,Rejected,TRUE,1,TRUE,16/01/2019
854,XL,Men,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Unexpected Issue,01/02/2019,Birmingham,B26 3PG ,Chat,Stage 2,Closed,TRUE,0,FALSE,02/05/2019
855,XXL,Women,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Unexpected Issue,01/03/2019,Birmingham,B8 1DX,Social,Stage 3,Acknowledged,FALSE,8,TRUE,16/03/2019
856,S,Mixed,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,General Return,01/04/2019,Birmingham,B28 0SX ,Phone,Completed,In Progress,FALSE,2,TRUE,16/04/2019
857,M,Men,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Customer Service Failure,01/05/2019,Birmingham,B28 0SZ ,Phone,Stage 1,Decision Pending,FALSE,1,FALSE,30/07/2019
858,L,Women,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Incorrect Fitting,01/06/2019,Birmingham,B15 3SR ,In Store,Stage 2,Decision Pending,FALSE,6,TRUE,16/06/2019
859,XL,Mixed,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,General Return,01/07/2019,Birmingham,B26 3PN ,Chat,Stage 3,Upheld,FALSE,8,TRUE,16/07/2019
860,XXL,Men,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,General Return,01/08/2019,Birmingham,B8 1AW,Social,Completed,Rejected,TRUE,2,TRUE,16/08/2019
